language,layer,head,direction,correct,total,accuracy
english,8,6,leftward,5765,1679481,0.0034326080497487023
english,8,7,nsubj_to_root,37338,1679481,0.02223186805923973
english,8,7,leftward,54811,1679481,0.03263567733127079
english,8,8,nsubj_to_root,42309,1679481,0.025191711010722956
english,8,8,leftward,20914,1679481,0.012452656505194164
english,8,9,nsubj_to_root,391916,1679481,0.2333554234909475
english,8,9,leftward,10121,1679481,0.006026266447789526
english,8,10,nsubj_to_root,44436,1679481,0.026458173685799363
english,8,10,leftward,492325,1679481,0.29314115491631043
english,8,11,nsubj_to_root,40776,1679481,0.02427892902628848
english,8,11,leftward,55675,1679481,0.03315012197220451
english,9,0,nsubj_to_root,13214,1679481,0.007867906811687659
english,9,0,leftward,14474,1679481,0.008618138579715995
english,9,1,nsubj_to_root,4235,1679481,0.002521612331428578
english,9,1,leftward,62311,1679481,0.037101342617153754
english,9,2,nsubj_to_root,27332,1679481,0.016274075145833743
english,9,2,leftward,89338,1679481,0.05319381404136159
english,9,3,nsubj_to_root,21343,1679481,0.01270809255954667
english,9,3,leftward,7941,1679481,0.004728246404692878
english,9,4,nsubj_to_root,15744,1679481,0.00937432456812551
english,9,4,leftward,36706,1679481,0.021855561331149326
english,9,5,nsubj_to_root,69694,1679481,0.041497343524576936
english,9,5,leftward,65195,1679481,0.03881853977508528
english,9,6,nsubj_to_root,92,1679481,5.477882750683098e-05
english,9,6,leftward,123,1679481,7.323691068848055e-05
english,9,7,nsubj_to_root,67999,1679481,0.04048810316996739
english,9,7,leftward,34308,1679481,0.020427739283743012
english,9,8,nsubj_to_root,27807,1679481,0.016556900613939662
english,9,8,leftward,35142,1679481,0.020924321263533198
english,9,9,nsubj_to_root,125,1679481,7.4427754764716e-05
english,9,9,leftward,2483,1679481,0.0014784329206463187
english,9,10,nsubj_to_root,66344,1679481,0.03950267969688255
english,9,10,leftward,31557,1679481,0.018789733256881144
english,9,11,nsubj_to_root,384,1679481,0.00022864206263720758
english,9,11,leftward,750,1679481,0.00044656652858829604
english,10,0,nsubj_to_root,31441,1679481,0.01872066430045949
english,10,0,leftward,60826,1679481,0.03621714089054893
english,10,1,nsubj_to_root,730,1679481,0.0004346580878259415
english,10,1,leftward,239,1679481,0.000142305867110137
english,10,2,nsubj_to_root,34324,1679481,0.020437266036352895
english,10,2,leftward,10518,1679481,0.0062626489969222635
english,10,3,nsubj_to_root,467,1679481,0.000278062091800979
english,10,3,leftward,631,1679481,0.0003757113060522864
english,10,4,nsubj_to_root,1989,1679481,0.001184294433816161
english,10,4,leftward,81644,1679481,0.048612636880083784
english,10,5,nsubj_to_root,111,1679481,6.609184623106782e-05
english,10,5,leftward,79,1679481,4.7038341011300516e-05
english,10,6,nsubj_to_root,4887,1679481,0.002909827500281337
english,10,6,leftward,28584,1679481,0.01701954353755714
english,10,7,nsubj_to_root,2142,1679481,0.0012753940056481736
english,10,7,leftward,5449,1679481,0.0032444546857035
english,10,8,nsubj_to_root,14374,1679481,0.008558596375904223
english,10,8,leftward,83454,1679481,0.04969035076907687
english,10,9,nsubj_to_root,547,1679481,0.00032569585485039726
english,10,9,leftward,508,1679481,0.0003024743953638058
english,10,10,nsubj_to_root,18424,1679481,0.010970055630281021
english,10,10,leftward,7813,1679481,0.004652032383813809
english,10,11,nsubj_to_root,127694,1679481,0.07603182173540517
english,10,11,leftward,22467,1679481,0.013377346930390995
english,11,0,nsubj_to_root,767,1679481,0.0004566887032362974
english,11,0,leftward,1894,1679481,0.0011277293401949768
english,11,1,nsubj_to_root,555,1679481,0.0003304592311553391
english,11,1,leftward,386,1679481,0.00022983290671344303
english,11,2,nsubj_to_root,15995,1679481,0.00952377549969306
english,11,2,leftward,4948,1679481,0.002946148244606518
english,11,3,nsubj_to_root,769,1679481,0.00045787954731253287
english,11,3,leftward,235,1679481,0.00013992417895766608
english,11,4,nsubj_to_root,1441,1679481,0.0008580031569276461
english,11,4,leftward,352,1679481,0.00020958855741744028
english,11,5,nsubj_to_root,3040,1679481,0.0018100829958778931
