language,layer,head,direction,correct,total,accuracy
german,10,7,leftward,36577,1335993,0.027378137460301065
german,10,8,nsubj_to_root,1355,1335993,0.0010142268709491741
german,10,8,leftward,2759,1335993,0.002065130580774001
german,10,9,nsubj_to_root,6416,1335993,0.004802420371963027
german,10,9,leftward,417,1335993,0.0003121273839009636
german,10,10,nsubj_to_root,1144,1335993,0.0008562919117091183
german,10,10,leftward,58948,1335993,0.04412298567432614
german,10,11,nsubj_to_root,17,1335993,1.2724617569104029e-05
german,10,11,leftward,23,1335993,1.721565906408192e-05
german,11,0,nsubj_to_root,1942,1335993,0.001453600430541178
german,11,0,leftward,3446,1335993,0.0025793548319489696
german,11,1,nsubj_to_root,1078,1335993,0.0008068904552643615
german,11,1,leftward,990,1335993,0.0007410218466713523
german,11,2,nsubj_to_root,21802,1335993,0.016318947778918003
german,11,2,leftward,64952,1335993,0.04861702119696735
german,11,3,nsubj_to_root,1320,1335993,0.0009880291288951364
german,11,3,leftward,5370,1335993,0.0040194821380052145
german,11,4,nsubj_to_root,1021,1335993,0.0007642255610620715
german,11,4,leftward,964,1335993,0.0007215606668597815
german,11,5,nsubj_to_root,1113,1335993,0.0008330881973183991
german,11,5,leftward,8290,1335993,0.006205122332227788
german,11,6,nsubj_to_root,510,1335993,0.0003817385270731209
german,11,6,leftward,439,1335993,0.00032859453604921584
german,11,7,nsubj_to_root,58,1335993,4.341340111811963e-05
german,11,7,leftward,4282,1335993,0.0032051066135825564
german,11,8,nsubj_to_root,3637,1335993,0.0027223196528724327
german,11,8,leftward,5621,1335993,0.004207357373878456
german,11,9,nsubj_to_root,4324,1335993,0.0032365439040474013
german,11,9,leftward,984,1335993,0.0007365308051763745
german,11,10,nsubj_to_root,4666,1335993,0.0034925332692611415
german,11,10,leftward,1064,1335993,0.0007964113584427463
german,11,11,nsubj_to_root,152,1335993,0.00011377305120610661
german,11,11,leftward,1346,1335993,0.0010074903087067073
